,Precision,Recall,F1-score,Support
2Nm_Normal,0.8207 ± 0.0697,0.8390 ± 0.0806,0.8238 ± 0.0293,240
2Nm_BPFI_03,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,240
2Nm_BPFO_03,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,240
2Nm_Misalign_01,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,240
2Nm_Unbalance_0583mg,0.8416 ± 0.0487,0.7956 ± 0.1135,0.8118 ± 0.0554,240
