,Precision,Recall,F1-score,Support
Normal,0.9151 ± 0.0141,0.9079 ± 0.0507,0.9103 ± 0.0211,720
BPFI,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,720
BPFO,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,720
Misalign,0.9989 ± 0.0022,0.9992 ± 0.0011,0.9990 ± 0.0010,720
Unbalance,0.9121 ± 0.0404,0.9148 ± 0.0200,0.9125 ± 0.0136,720
