,precision,recall,f1-score,support
0,0.993103448275862,0.9965397923875432,0.9948186528497409,289.0
1,1.0,1.0,1.0,49.0
2,1.0,1.0,1.0,73.0
3,1.0,1.0,1.0,133.0
4,0.991304347826087,0.9827586206896551,0.987012987012987,116.0
accuracy,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.9954545454545455
macro avg,0.9968815592203899,0.9958596826154397,0.9963663279725455,660.0
weighted avg,0.9954518195447731,0.9954545454545455,0.9954486320713358,660.0
