,precision,recall,f1-score,support
0,0.9795918367346939,0.9896907216494846,0.9846153846153847,291.0
1,1.0,1.0,1.0,67.0
2,1.0,1.0,1.0,68.0
3,1.0,1.0,1.0,121.0
4,0.9727272727272728,0.9469026548672567,0.9596412556053812,113.0
accuracy,0.9863636363636363,0.9863636363636363,0.9863636363636363,0.9863636363636363
macro avg,0.9904638218923933,0.9873186753033483,0.9888513280441531,660.0
weighted avg,0.9863324337999662,0.9863636363636363,0.9863068769795227,660.0
