,Precision,Recall,F1-score,Support
0,0.9874 ± 0.0067,0.9866 ± 0.0055,0.9869 ± 0.0030,300
1,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,60
2,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,60
3,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,120
4,0.9675 ± 0.0089,0.9676 ± 0.0176,0.9674 ± 0.0077,120
accuracy,0.9882 ± 0.0026,0.9882 ± 0.0026,0.9882 ± 0.0026,0
macro avg,0.9910 ± 0.0017,0.9908 ± 0.0030,0.9909 ± 0.0021,660
weighted avg,0.9883 ± 0.0026,0.9882 ± 0.0026,0.9882 ± 0.0026,660
