,precision,recall,f1-score,support
0,0.9967948717948718,0.9873015873015873,0.9920255183413078,315.0
1,1.0,1.0,1.0,63.0
2,1.0,1.0,1.0,54.0
3,1.0,1.0,1.0,117.0
4,0.9649122807017544,0.990990990990991,0.9777777777777777,111.0
accuracy,0.9924242424242424,0.9924242424242424,0.9924242424242424,0.9924242424242424
macro avg,0.9923414304993253,0.9956585156585156,0.993960659223817,660.0
weighted avg,0.9925691632928475,0.9924242424242424,0.992456623652796,660.0
