,Precision,Recall,F1-score,Support
0Nm_Normal,0.5236 ± 0.2961,0.3219 ± 0.2642,0.3387 ± 0.2579,240
0Nm_BPFI_03,0.9991 ± 0.0019,0.8988 ± 0.1307,0.9408 ± 0.0800,240
0Nm_BPFO_03,0.5992 ± 0.4892,0.4885 ± 0.4425,0.5242 ± 0.4477,240
0Nm_Misalign_01,0.6932 ± 0.3587,0.9390 ± 0.1106,0.7232 ± 0.2661,240
0Nm_Unbalance_0583mg,0.4853 ± 0.3311,0.4131 ± 0.3683,0.3200 ± 0.2506,240
